price,bhk,area,carpetarea,pricepersquare,additionalrooms,status,possesiondate,locality,projectname,age,roadfaceing,bathroom,floor,balconies,totalfloor,neworold,opensides,facing,overlooking,ownership,amenitiesavailable,amenitiesnot
3192000,2 BHK Apartment ,840 sq ft,,"₹ 3,800/ sq ft ",,,,Wagholi,Bhandari Associates Ivory,,,2,,,,New,,,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Jogging Track,Shopping Mall,School,Hospital,ATM","Children's play area,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens"
56054394,5 BHK Apartment ,"5,606 sq ft",,"₹ 9,999/ sq ft ",,,,Shastri Nagar,Db Group Builders Golf Links,,,4,,,,New,,,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Landscaped Gardens","Children's play area,Sports Facility"
55604439,5 BHK Apartment ,"5,561 sq ft",,"₹ 9,999/ sq ft ",,,,Shastri Nagar,Db Group Builders Golf Links,,,4,,,,New,,,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Landscaped Gardens","Children's play area,Sports Facility"
40785921,4 BHK Apartment ,"4,079 sq ft",,"₹ 9,999/ sq ft ",,,,Shastri Nagar,Db Group Builders Golf Links,,,4,,,,New,,,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Landscaped Gardens","Children's play area,Sports Facility"
90290970,5 BHK Apartment ,"9,030 sq ft",,"₹ 9,999/ sq ft ",,,,Shastri Nagar,Db Group Builders Golf Links,,,4,,,,New,,,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Landscaped Gardens","Children's play area,Sports Facility"
7462400,3 BHK Apartment ,"1,408 sq ft",,"₹ 5,300/ sq ft ",,,,Tingre Nagar,Nyati Environ,,,3,,,,New,,,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track","Children's play area,Sports Facility,Landscaped Gardens"
7557800,3 BHK Apartment ,"1,426 sq ft",,"₹ 5,300/ sq ft ",,,,Tingre Nagar,Nyati Environ,,,3,,,,New,,,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Jogging Track","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens"
6900000,2 BHK Apartment ,"1,008 sq ft",,"₹ 6,845/ sq ft ",,Ready to move,,Katraj,Dugad Group Manik Moti,14 years,,,,,,New,,,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Jogging Track,Rain Water Harvesting","Children's play area,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens"
1550000,1 RK Apartment ,385 sq ft,320 sq ft,"₹ 4,025/ sq ft ",,"Ready to move,Unfurnished",,Indrayani Nagar Sector 2,,1 - 2 years,,1,"1, ",1,3,Resale,1,East,Road View,Leasehol,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens"
1300000, Residential Plot ,"2,000 sq ft",,₹ 650/ sq ft ,,,,kesnand,Builder rajvaibhav park,,25 feet,,,,,New,3,East,,,"Car Parking,Landscaped Gardens","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track"
3500000,1 BHK Apartment ,570 sq ft,,"₹ 6,140/ sq ft ",,"Ready to move,Unfurnished",,hingne Khurd,Builder Avinash vihar,6 years,,1,,1,,Resale,,,,,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens"
